,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6
0,17AC,"VèVè, NA, Clark","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,25AC,"William, NA, Banks","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,27AC,"Percy, NA, Hintzen","Tommy, NA, Lott","Michael, NA, Cohen","Leigh, NA, Raiford","NA, NA, NA","NA, NA, NA"
3,28AC,"Stephen, A, Small","Utz, NA, McKnight","Barnor, NA, Hesse","Rickey, NA, Vincent","Sherice, NA, Nelson","NA, NA, NA"
4,29AC,"Margaret, NA, Wilkerson","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,119AC,"Stephen, A, Small","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
6,125AC,"Ula, NA, Taylor","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
7,C133A,"Nailah, NA, Nasir","Travis, NA, Bristol","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
8,136AC,"Michel, NA, Laguerre","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
9,142B,"Albert, NA, Johnson","Karen, NA, Jacobs","Robert, NA, Chrisman","Frank, NA, Wilderson","Mario, NA, Barrera","Christopher, NA, Knaus"
10,142AC,"Leigh, NA, Raiford","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
11,156AC,"Aya, de, Leon","June, NA, Jordan","Junichi, NA, Semitsu","NA, NA, NA","NA, NA, NA","NA, NA, NA"
12,158A,"June, NA, Jordan","Junichi, NA, Semitsu","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
13,158B,"June, NA, Jordan","Junichi, NA, Semitsu","Aya, de, Leon","NA, NA, NA","NA, NA, NA","NA, NA, NA"
14,173AC,"Purushottama, NA, Bilimoria","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
15,190AC,"Charles, NA, Henry","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
