,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5
0,110AC,"Galen, NA, Cranz","MarieAlice, NA, LHeureux","Sam, NA, Davis","Rosa, NA, Lane","Leonardo, NA, Chiesi"
1,118AC,"Renée, Y, Chow","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,119,"Sara, NA, Ishikawa","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
3,179AC,"Jean, NA, McMann","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
4,C174B,"Dell, NA, Upton","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,180AC,"Jill, NA, Stoner","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
6,Visual,"NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
7,182AC,"Lewis, NA, Watts","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
8,185AC,"NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
9,C185A,"Lewis, NA, Watts","Susannah, NA, Hays","Hertha, Sweet, Wong","NA, NA, NA","NA, NA, NA"
